date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,v_tat,c_tat,canceled_rides_by_customer,canceled_rides_by_driver,incomplete_rides,incomplete_rides_reason,booking_value,payment_method,ride_distance,driver_ratings,customer_rating,pickup_datetime,pickup_hour,pickup_day,pickup_dayofweek
2024-07-03 21:17:00,21:17:00,CNR5620539253,success,CID290480,prime plus,mysore road,sahakar nagar,56.0,105.0,,,No,,311,cash,28,4.3,3.0,2024-07-03 21:17:00,21,2024-07-03,Wednesday
2024-07-19 21:18:00,21:18:00,CNR4443921904,success,CID654618,mini,tumkur road,koramangala,231.0,50.0,,,No,,286,upi,44,4.0,3.3,2024-07-19 21:18:00,21,2024-07-19,Friday
2024-07-25 03:44:00,03:44:00,CNR7194303296,success,CID538245,mini,mysore road,hennur,175.0,50.0,,,No,,141,upi,35,4.7,3.1,2024-07-25 03:44:00,3,2024-07-25,Thursday
2024-07-15 17:11:00,17:11:00,CNR6494005067,success,CID805360,auto,yelahanka,malleshwaram,84.0,60.0,,,No,,214,upi,2,3.3,4.5,2024-07-15 17:11:00,17,2024-07-15,Monday
2024-07-30 19:44:00,19:44:00,CNR6805579107,success,CID810214,prime suv,indiranagar,indiranagar,35.0,145.0,,,No,,2183,cash,20,4.0,4.4,2024-07-30 19:44:00,19,2024-07-30,Tuesday
2024-07-21 08:26:00,08:26:00,CNR6003663433,canceled by customer,CID350426,prime plus,rajajinagar,chamarajpet,,,Driver asked to cancel,,,,604,unknown,0,4.0,4.0,2024-07-21 08:26:00,8,2024-07-21,Sunday
2024-07-23 07:04:00,07:04:00,CNR2998177390,driver not found,CID946041,auto,rt nagar,yelahanka,,,,,,,802,unknown,0,4.0,4.0,2024-07-23 07:04:00,7,2024-07-23,Tuesday
2024-07-27 06:18:00,06:18:00,CNR7979458138,success,CID978509,ebike,frazer town,indiranagar,189.0,65.0,,,No,,1095,cash,38,4.8,4.7,2024-07-27 06:18:00,6,2024-07-27,Saturday
2024-07-23 10:17:00,10:17:00,CNR7286474506,canceled by customer,CID500806,ebike,jayanagar,richmond town,,,Driver is not moving towards pickup location,,,,120,unknown,0,4.0,4.0,2024-07-23 10:17:00,10,2024-07-23,Tuesday
2024-07-23 12:56:00,12:56:00,CNR9820692957,success,CID625327,prime sedan,koramangala,hosur road,49.0,85.0,,,No,,241,cash,33,3.2,3.5,2024-07-23 12:56:00,12,2024-07-23,Tuesday
2024-07-08 11:52:00,11:52:00,CNR4094067439,success,CID896062,prime sedan,majestic,jayanagar,77.0,140.0,,,No,,475,cash,45,4.3,3.1,2024-07-08 11:52:00,11,2024-07-08,Monday
2024-07-14 05:25:00,05:25:00,CNR7142279862,success,CID378034,ebike,yeshwanthpur,jp nagar,210.0,45.0,,,No,,461,upi,49,4.5,3.1,2024-07-14 05:25:00,5,2024-07-14,Sunday
2024-07-23 09:33:00,09:33:00,CNR5488574120,canceled by driver,CID169284,auto,peenya,hosur road,,,,Customer related issue,,,783,unknown,0,4.0,4.0,2024-07-23 09:33:00,9,2024-07-23,Tuesday
2024-07-03 16:16:00,16:16:00,CNR8148468821,canceled by driver,CID347094,prime plus,marathahalli,btm layout,,,,Customer was coughing/sick,,,995,unknown,0,4.0,4.0,2024-07-03 16:16:00,16,2024-07-03,Wednesday
2024-07-03 00:58:00,00:58:00,CNR5176704322,success,CID296026,prime plus,kr puram,hennur,287.0,40.0,,,Yes,customer demand,1102,upi,41,3.1,3.5,2024-07-03 00:58:00,0,2024-07-03,Wednesday
2024-07-24 17:31:00,17:31:00,CNR9287248724,canceled by driver,CID959554,prime suv,hosur road,yeshwanthpur,,,,Customer related issue,,,170,unknown,0,4.0,4.0,2024-07-24 17:31:00,17,2024-07-24,Wednesday
2024-07-10 21:56:00,21:56:00,CNR7547352327,success,CID976231,prime plus,hulimavu,rajarajeshwari nagar,210.0,105.0,,,No,,444,upi,6,3.8,4.9,2024-07-10 21:56:00,21,2024-07-10,Wednesday
2024-07-20 15:30:00,15:30:00,CNR9660405769,canceled by driver,CID483311,ebike,electronic city,varthur,,,,Customer related issue,,,1130,unknown,0,4.0,4.0,2024-07-20 15:30:00,15,2024-07-20,Saturday
2024-07-11 03:22:00,03:22:00,CNR4251304471,success,CID888740,prime suv,shivajinagar,jayanagar,294.0,145.0,,,No,,876,cash,21,4.7,3.3,2024-07-11 03:22:00,3,2024-07-11,Thursday
2024-07-06 15:02:00,15:02:00,CNR1568684278,success,CID709612,prime plus,bannerghatta road,majestic,42.0,90.0,,,No,,680,upi,24,4.7,3.8,2024-07-06 15:02:00,15,2024-07-06,Saturday
2024-07-05 20:28:00,20:28:00,CNR2230045814,success,CID961125,prime suv,cox town,chamarajpet,266.0,65.0,,,No,,425,cash,11,3.5,4.6,2024-07-05 20:28:00,20,2024-07-05,Friday
2024-07-11 11:28:00,11:28:00,CNR7871058089,success,CID221021,mini,hennur,kengeri,56.0,140.0,,,No,,989,cash,4,4.5,4.2,2024-07-11 11:28:00,11,2024-07-11,Thursday
2024-07-16 16:25:00,16:25:00,CNR5503358927,driver not found,CID552049,bike,peenya,mg road,,,,,,,594,unknown,0,4.0,4.0,2024-07-16 16:25:00,16,2024-07-16,Tuesday
2024-07-12 18:02:00,18:02:00,CNR2708187615,success,CID415325,prime plus,devanahalli,rajajinagar,294.0,95.0,,,No,,443,cash,5,3.4,3.1,2024-07-12 18:02:00,18,2024-07-12,Friday
2024-07-16 22:35:00,22:35:00,CNR1625119636,success,CID745270,ebike,ramamurthy nagar,sahakar nagar,35.0,95.0,,,No,,721,cash,19,3.8,4.7,2024-07-16 22:35:00,22,2024-07-16,Tuesday
2024-07-25 03:33:00,03:33:00,CNR5274603340,success,CID477783,prime suv,electronic city,banashankari,77.0,35.0,,,No,,747,cash,25,5.0,3.5,2024-07-25 03:33:00,3,2024-07-25,Thursday
2024-07-17 03:30:00,03:30:00,CNR1050003752,success,CID993137,bike,chamarajpet,shivajinagar,308.0,110.0,,,No,,799,upi,25,3.9,4.7,2024-07-17 03:30:00,3,2024-07-17,Wednesday
2024-07-07 05:59:00,05:59:00,CNR3603517873,success,CID386651,ebike,rajarajeshwari nagar,marathahalli,63.0,135.0,,,No,,300,cash,14,3.3,4.6,2024-07-07 05:59:00,5,2024-07-07,Sunday
2024-07-01 02:21:00,02:21:00,CNR1557960488,driver not found,CID884386,prime suv,rajarajeshwari nagar,varthur,,,,,,,162,unknown,0,4.0,4.0,2024-07-01 02:21:00,2,2024-07-01,Monday
2024-07-01 02:45:00,02:45:00,CNR9758857830,success,CID528642,prime plus,hsr layout,magadi road,308.0,70.0,,,No,,618,upi,30,3.5,3.7,2024-07-01 02:45:00,2,2024-07-01,Monday
2024-07-02 04:17:00,04:17:00,CNR8080410192,success,CID416746,ebike,jayanagar,jp nagar,91.0,120.0,,,No,,251,upi,9,5.0,4.4,2024-07-02 04:17:00,4,2024-07-02,Tuesday
2024-07-13 02:27:00,02:27:00,CNR1648186942,canceled by driver,CID713303,bike,hennur,padmanabhanagar,,,,More than permitted people in there,,,543,unknown,0,4.0,4.0,2024-07-13 02:27:00,2,2024-07-13,Saturday
2024-07-25 10:57:00,10:57:00,CNR2433490646,success,CID954071,mini,hennur,chamarajpet,35.0,115.0,,,No,,724,cash,11,4.5,4.8,2024-07-25 10:57:00,10,2024-07-25,Thursday
2024-07-18 00:37:00,00:37:00,CNR7825941026,success,CID234007,mini,marathahalli,langford town,196.0,80.0,,,No,,316,upi,27,3.1,4.7,2024-07-18 00:37:00,0,2024-07-18,Thursday
2024-07-22 13:08:00,13:08:00,CNR9148580255,success,CID164393,prime suv,tumkur road,magadi road,224.0,60.0,,,No,,138,upi,24,5.0,3.0,2024-07-22 13:08:00,13,2024-07-22,Monday
2024-07-15 07:21:00,07:21:00,CNR2946309760,success,CID984343,prime plus,hosur road,hennur,280.0,55.0,,,No,,467,cash,24,4.5,4.2,2024-07-15 07:21:00,7,2024-07-15,Monday
2024-07-19 10:29:00,10:29:00,CNR3472489570,driver not found,CID621402,prime suv,electronic city,marathahalli,,,,,,,565,unknown,0,4.0,4.0,2024-07-19 10:29:00,10,2024-07-19,Friday
2024-07-07 16:56:00,16:56:00,CNR1768885472,canceled by driver,CID130993,prime suv,basavanagudi,padmanabhanagar,,,,More than permitted people in there,,,276,unknown,0,4.0,4.0,2024-07-07 16:56:00,16,2024-07-07,Sunday
2024-07-06 01:18:00,01:18:00,CNR7486448495,success,CID931462,auto,ulsoor,padmanabhanagar,63.0,65.0,,,No,,296,upi,5,4.0,4.3,2024-07-06 01:18:00,1,2024-07-06,Saturday
2024-07-04 15:32:00,15:32:00,CNR2735636504,driver not found,CID111173,prime suv,cox town,chamarajpet,,,,,,,1310,unknown,0,4.0,4.0,2024-07-04 15:32:00,15,2024-07-04,Thursday
2024-07-26 17:17:00,17:17:00,CNR7533317866,canceled by customer,CID867762,mini,shantinagar,hulimavu,,,AC is Not working,,,,771,unknown,0,4.0,4.0,2024-07-26 17:17:00,17,2024-07-26,Friday
2024-07-01 02:55:00,02:55:00,CNR5758479139,success,CID805528,prime sedan,rt nagar,chickpet,42.0,25.0,,,No,,279,cash,43,4.3,3.4,2024-07-01 02:55:00,2,2024-07-01,Monday
2024-07-22 16:24:00,16:24:00,CNR8021985469,success,CID604351,mini,hosur road,kadugodi,308.0,145.0,,,No,,321,cash,39,3.3,4.7,2024-07-22 16:24:00,16,2024-07-22,Monday
2024-07-21 19:56:00,19:56:00,CNR3800597072,success,CID386103,mini,jp nagar,chickpet,189.0,35.0,,,No,,457,cash,1,4.1,3.4,2024-07-21 19:56:00,19,2024-07-21,Sunday
2024-07-05 13:55:00,13:55:00,CNR6179425512,success,CID607886,mini,bannerghatta road,basavanagudi,217.0,45.0,,,No,,139,cash,45,4.9,3.8,2024-07-05 13:55:00,13,2024-07-05,Friday
2024-07-29 19:40:00,19:40:00,CNR7924302885,success,CID517661,auto,magadi road,nagarbhavi,168.0,140.0,,,Yes,customer demand,685,upi,7,4.1,4.9,2024-07-29 19:40:00,19,2024-07-29,Monday
2024-07-15 21:19:00,21:19:00,CNR7181374756,canceled by driver,CID700952,auto,devanahalli,kammanahalli,,,,More than permitted people in there,,,150,unknown,0,4.0,4.0,2024-07-15 21:19:00,21,2024-07-15,Monday
2024-07-16 13:15:00,13:15:00,CNR2830899440,success,CID808607,mini,kadugodi,frazer town,133.0,90.0,,,No,,196,upi,21,4.3,3.4,2024-07-16 13:15:00,13,2024-07-16,Tuesday
2024-07-14 11:37:00,11:37:00,CNR7592165192,canceled by driver,CID863704,prime suv,rajarajeshwari nagar,hsr layout,,,,Personal & Car related issue,,,424,unknown,0,4.0,4.0,2024-07-14 11:37:00,11,2024-07-14,Sunday
2024-07-11 21:40:00,21:40:00,CNR6077524333,canceled by driver,CID708519,prime suv,chickpet,shantinagar,,,,More than permitted people in there,,,827,unknown,0,4.0,4.0,2024-07-11 21:40:00,21,2024-07-11,Thursday
2024-07-14 04:15:00,04:15:00,CNR8854206454,success,CID932765,ebike,langford town,kadugodi,301.0,115.0,,,No,,770,cash,27,3.3,4.3,2024-07-14 04:15:00,4,2024-07-14,Sunday
2024-07-17 07:30:00,07:30:00,CNR6387231274,driver not found,CID686160,prime sedan,bannerghatta road,indiranagar,,,,,,,325,unknown,0,4.0,4.0,2024-07-17 07:30:00,7,2024-07-17,Wednesday
2024-07-04 14:43:00,14:43:00,CNR6215530366,success,CID713821,ebike,devanahalli,jayanagar,161.0,25.0,,,No,,986,cash,18,4.6,4.8,2024-07-04 14:43:00,14,2024-07-04,Thursday
2024-07-29 14:56:00,14:56:00,CNR4314026109,success,CID259573,prime suv,tumkur road,bannerghatta road,266.0,115.0,,,No,,2208,cash,40,4.0,4.5,2024-07-29 14:56:00,14,2024-07-29,Monday
2024-07-17 19:55:00,19:55:00,CNR9027465661,success,CID737388,prime sedan,btm layout,majestic,168.0,30.0,,,No,,1695,upi,20,4.5,4.7,2024-07-17 19:55:00,19,2024-07-17,Wednesday
2024-07-20 10:58:00,10:58:00,CNR5003494701,canceled by driver,CID761134,mini,sarjapur road,majestic,,,,Customer related issue,,,305,unknown,0,4.0,4.0,2024-07-20 10:58:00,10,2024-07-20,Saturday
2024-07-08 09:18:00,09:18:00,CNR2064658821,success,CID954441,bike,peenya,devanahalli,63.0,105.0,,,No,,2271,cash,37,3.4,4.2,2024-07-08 09:18:00,9,2024-07-08,Monday
2024-07-07 01:31:00,01:31:00,CNR2149029235,success,CID596869,auto,chickpet,hennur,154.0,135.0,,,No,,240,upi,4,4.0,4.9,2024-07-07 01:31:00,1,2024-07-07,Sunday
2024-07-30 01:20:00,01:20:00,CNR9704400677,success,CID974657,mini,langford town,vijayanagar,287.0,95.0,,,No,,482,cash,37,4.4,3.9,2024-07-30 01:20:00,1,2024-07-30,Tuesday
2024-07-03 11:25:00,11:25:00,CNR8836460204,success,CID716037,ebike,bellandur,shantinagar,252.0,45.0,,,No,,536,upi,17,3.9,4.4,2024-07-03 11:25:00,11,2024-07-03,Wednesday
2024-07-11 10:44:00,10:44:00,CNR3697318609,success,CID915228,bike,sarjapur road,chickpet,287.0,100.0,,,No,,188,upi,37,4.9,4.1,2024-07-11 10:44:00,10,2024-07-11,Thursday
2024-07-22 18:17:00,18:17:00,CNR6541289543,canceled by driver,CID656539,prime suv,frazer town,whitefield,,,,Customer related issue,,,202,unknown,0,4.0,4.0,2024-07-22 18:17:00,18,2024-07-22,Monday
2024-07-21 06:54:00,06:54:00,CNR8369601219,canceled by driver,CID581505,prime suv,richmond town,jayanagar,,,,Customer related issue,,,1609,unknown,0,4.0,4.0,2024-07-21 06:54:00,6,2024-07-21,Sunday
2024-07-22 00:21:00,00:21:00,CNR8346388703,canceled by driver,CID680143,mini,magadi road,btm layout,,,,Personal & Car related issue,,,1821,unknown,0,4.0,4.0,2024-07-22 00:21:00,0,2024-07-22,Monday
2024-07-26 09:39:00,09:39:00,CNR4445082348,success,CID336831,mini,yelahanka,btm layout,42.0,40.0,,,No,,415,upi,22,3.6,3.1,2024-07-26 09:39:00,9,2024-07-26,Friday
2024-07-26 06:06:00,06:06:00,CNR5528764313,success,CID808205,prime suv,ramamurthy nagar,bannerghatta road,308.0,145.0,,,No,,2125,upi,6,3.8,4.6,2024-07-26 06:06:00,6,2024-07-26,Friday
2024-07-03 15:04:00,15:04:00,CNR3967141568,canceled by driver,CID163765,auto,padmanabhanagar,ramamurthy nagar,,,,Customer related issue,,,758,unknown,0,4.0,4.0,2024-07-03 15:04:00,15,2024-07-03,Wednesday
2024-07-07 09:55:00,09:55:00,CNR7054352438,driver not found,CID270321,mini,hennur,cox town,,,,,,,653,unknown,0,4.0,4.0,2024-07-07 09:55:00,9,2024-07-07,Sunday
2024-07-22 12:51:00,12:51:00,CNR1640228587,success,CID190281,prime sedan,kengeri,mysore road,168.0,135.0,,,Yes,other issue,704,cash,42,4.7,4.8,2024-07-22 12:51:00,12,2024-07-22,Monday
2024-07-19 04:48:00,04:48:00,CNR6684033796,success,CID352268,auto,indiranagar,whitefield,84.0,105.0,,,No,,385,cash,19,4.1,3.7,2024-07-19 04:48:00,4,2024-07-19,Friday
2024-07-01 05:03:00,05:03:00,CNR4158584922,success,CID772392,auto,sahakar nagar,ramamurthy nagar,35.0,45.0,,,No,,934,upi,12,3.3,5.0,2024-07-01 05:03:00,5,2024-07-01,Monday
2024-07-23 04:01:00,04:01:00,CNR5133236273,canceled by driver,CID905849,prime plus,banashankari,chickpet,,,,Customer related issue,,,615,unknown,0,4.0,4.0,2024-07-23 04:01:00,4,2024-07-23,Tuesday
2024-07-26 08:22:00,08:22:00,CNR5661490576,success,CID546076,bike,magadi road,electronic city,56.0,30.0,,,No,,2202,cash,44,4.7,3.4,2024-07-26 08:22:00,8,2024-07-26,Friday
2024-07-05 12:36:00,12:36:00,CNR2304446757,success,CID432144,ebike,rajarajeshwari nagar,mg road,252.0,145.0,,,No,,205,cash,43,4.1,3.1,2024-07-05 12:36:00,12,2024-07-05,Friday
2024-07-18 07:21:00,07:21:00,CNR3780555542,canceled by customer,CID803813,mini,tumkur road,chamarajpet,,,Driver asked to cancel,,,,513,unknown,0,4.0,4.0,2024-07-18 07:21:00,7,2024-07-18,Thursday
2024-07-21 08:21:00,08:21:00,CNR1559782157,success,CID906966,auto,ulsoor,bellandur,182.0,50.0,,,No,,247,cash,8,3.1,3.3,2024-07-21 08:21:00,8,2024-07-21,Sunday
2024-07-13 02:55:00,02:55:00,CNR7623690602,success,CID526261,bike,cox town,malleshwaram,259.0,75.0,,,Yes,other issue,558,upi,41,3.2,3.2,2024-07-13 02:55:00,2,2024-07-13,Saturday
2024-07-08 07:56:00,07:56:00,CNR2098165198,success,CID619972,prime sedan,yelahanka,ramamurthy nagar,217.0,55.0,,,No,,291,upi,5,3.8,3.3,2024-07-08 07:56:00,7,2024-07-08,Monday
2024-07-22 04:32:00,04:32:00,CNR5502012579,success,CID748475,mini,vijayanagar,kengeri,56.0,110.0,,,No,,925,cash,22,3.0,4.0,2024-07-22 04:32:00,4,2024-07-22,Monday
2024-07-24 21:58:00,21:58:00,CNR4698965967,success,CID529347,prime sedan,ramamurthy nagar,chickpet,280.0,30.0,,,No,,121,cash,44,3.8,4.5,2024-07-24 21:58:00,21,2024-07-24,Wednesday
2024-07-21 03:13:00,03:13:00,CNR8566688320,driver not found,CID175878,bike,chickpet,shivajinagar,,,,,,,404,unknown,0,4.0,4.0,2024-07-21 03:13:00,3,2024-07-21,Sunday
2024-07-29 12:44:00,12:44:00,CNR8014852782,canceled by customer,CID737119,prime plus,kammanahalli,magadi road,,,Change of plans,,,,223,unknown,0,4.0,4.0,2024-07-29 12:44:00,12,2024-07-29,Monday
2024-07-01 11:01:00,11:01:00,CNR3404012927,success,CID344186,mini,chickpet,chamarajpet,63.0,130.0,,,No,,728,cash,14,4.3,5.0,2024-07-01 11:01:00,11,2024-07-01,Monday
2024-07-11 10:50:00,10:50:00,CNR9282027845,success,CID767941,bike,yeshwanthpur,kr puram,210.0,85.0,,,No,,2416,upi,49,3.1,3.8,2024-07-11 10:50:00,10,2024-07-11,Thursday
2024-07-30 10:02:00,10:02:00,CNR5508853708,canceled by customer,CID812594,prime plus,shivajinagar,hsr layout,,,Driver is not moving towards pickup location,,,,371,unknown,0,4.0,4.0,2024-07-30 10:02:00,10,2024-07-30,Tuesday
2024-07-07 18:36:00,18:36:00,CNR4241139229,success,CID133723,prime plus,kammanahalli,shivajinagar,203.0,25.0,,,No,,258,cash,32,4.7,4.1,2024-07-07 18:36:00,18,2024-07-07,Sunday
2024-07-27 23:48:00,23:48:00,CNR8306274838,driver not found,CID117206,bike,bellandur,rajarajeshwari nagar,,,,,,,170,unknown,0,4.0,4.0,2024-07-27 23:48:00,23,2024-07-27,Saturday
2024-07-16 15:25:00,15:25:00,CNR1903850514,canceled by customer,CID126419,ebike,mysore road,vijayanagar,,,Driver asked to cancel,,,,151,unknown,0,4.0,4.0,2024-07-16 15:25:00,15,2024-07-16,Tuesday
2024-07-26 21:02:00,21:02:00,CNR1852948877,canceled by driver,CID953990,prime sedan,yelahanka,majestic,,,,Customer related issue,,,425,unknown,0,4.0,4.0,2024-07-26 21:02:00,21,2024-07-26,Friday
2024-07-04 03:31:00,03:31:00,CNR5744401218,success,CID507511,bike,yelahanka,varthur,91.0,25.0,,,No,,220,upi,2,3.4,3.1,2024-07-04 03:31:00,3,2024-07-04,Thursday
2024-07-16 10:15:00,10:15:00,CNR7221640450,success,CID195611,prime sedan,rt nagar,whitefield,301.0,145.0,,,No,,472,upi,16,3.3,4.5,2024-07-16 10:15:00,10,2024-07-16,Tuesday
2024-07-20 22:27:00,22:27:00,CNR8395803905,canceled by driver,CID925776,ebike,bannerghatta road,rt nagar,,,,Customer related issue,,,616,unknown,0,4.0,4.0,2024-07-20 22:27:00,22,2024-07-20,Saturday
2024-07-15 09:20:00,09:20:00,CNR3750351374,success,CID524066,prime suv,mysore road,peenya,42.0,130.0,,,No,,473,cash,49,4.0,4.2,2024-07-15 09:20:00,9,2024-07-15,Monday
2024-07-04 18:13:00,18:13:00,CNR2869164142,success,CID884352,prime suv,btm layout,malleshwaram,126.0,115.0,,,No,,259,cash,11,4.8,4.5,2024-07-04 18:13:00,18,2024-07-04,Thursday
2024-07-27 11:58:00,11:58:00,CNR8303547069,success,CID471469,mini,langford town,richmond town,77.0,35.0,,,No,,310,credit card,2,3.3,3.1,2024-07-27 11:58:00,11,2024-07-27,Saturday
2024-07-09 21:32:00,21:32:00,CNR7368110421,canceled by driver,CID372218,mini,peenya,sarjapur road,,,,Personal & Car related issue,,,200,unknown,0,4.0,4.0,2024-07-09 21:32:00,21,2024-07-09,Tuesday
2024-07-30 10:14:00,10:14:00,CNR7500310853,success,CID377809,prime sedan,jayanagar,richmond town,189.0,85.0,,,No,,471,upi,39,3.5,3.7,2024-07-30 10:14:00,10,2024-07-30,Tuesday
2024-07-13 21:23:00,21:23:00,CNR8925319975,success,CID388701,prime sedan,yelahanka,rajajinagar,287.0,125.0,,,No,,442,upi,37,4.1,4.5,2024-07-13 21:23:00,21,2024-07-13,Saturday
2024-07-29 19:56:00,19:56:00,CNR9261561390,success,CID853883,auto,koramangala,majestic,175.0,65.0,,,No,,228,cash,10,3.7,4.3,2024-07-29 19:56:00,19,2024-07-29,Monday
2024-07-24 09:25:00,09:25:00,CNR3165383119,canceled by driver,CID765484,prime suv,devanahalli,kr puram,,,,Customer was coughing/sick,,,232,unknown,0,4.0,4.0,2024-07-24 09:25:00,9,2024-07-24,Wednesday
2024-07-29 23:15:00,23:15:00,CNR7006798592,driver not found,CID786658,prime sedan,ulsoor,rt nagar,,,,,,,344,unknown,0,4.0,4.0,2024-07-29 23:15:00,23,2024-07-29,Monday
2024-07-08 07:52:00,07:52:00,CNR5613886410,success,CID107686,auto,marathahalli,kr puram,266.0,65.0,,,No,,2604,upi,10,3.8,4.1,2024-07-08 07:52:00,7,2024-07-08,Monday
2024-07-16 04:52:00,04:52:00,CNR5841521780,success,CID768996,prime suv,ramamurthy nagar,varthur,210.0,120.0,,,No,,274,cash,37,3.1,3.6,2024-07-16 04:52:00,4,2024-07-16,Tuesday
2024-07-09 13:07:00,13:07:00,CNR1281921513,canceled by customer,CID163474,mini,malleshwaram,magadi road,,,Driver is not moving towards pickup location,,,,895,unknown,0,4.0,4.0,2024-07-09 13:07:00,13,2024-07-09,Tuesday
